day_id,condition_text
D0370,Light Rain with Thunder
D0371,Light Rain with Thunder
D0372,Light Precipitation
D0373,Light Rain with Thunder
D0374,Light Rain with Thunder
D0375,Light Precipitation
D0376,Partly Cloudy
D0377,Light Precipitation
D0378,Light Precipitation
D0379,Light Precipitation
D0380,Light Rain with Thunder
D0381,Light Rain with Thunder
D0382,Light Rain with Thunder
D0383,Light Rain with Thunder
D0384,Light Rain with Thunder
D0385,Light Rain with Thunder
D0386,Partly Cloudy
D0387,Light Precipitation
D0388,Light Precipitation
D0389,Light Rain with Thunder
D0390,Light Rain with Thunder
D0391,Light Precipitation
D0392,Cloudy and Overcast
D0393,Cloudy and Overcast
D0394,Cloudy and Overcast
D0395,Cloudy and Overcast
D0396,Light Precipitation
D0397,Light Precipitation
D0398,Light Precipitation
D0399,Light Precipitation
D0400,Light Rain with Thunder
D0401,Light Rain with Thunder
D0402,Light Rain with Thunder
D0403,Light Precipitation
D0404,Light Rain with Thunder
D0405,Light Precipitation
D0406,Light Precipitation
D0407,Light Precipitation
D0408,Cloudy and Overcast
D0409,Clear and Sunny
D0410,Cloudy and Overcast
D0411,Cloudy and Overcast
D0412,Cloudy and Overcast
D0413,Light Precipitation
D0414,Mist or Fog
D0415,Light Precipitation
D0416,Light Precipitation
D0417,Mist or Fog
D0418,Mist or Fog
D0419,Moderate to Heavy Rain
D0420,Mist or Fog
D0421,Moderate to Heavy Rain
D0422,Mist or Fog
D0423,Light Rain with Thunder
D0424,Light Rain with Thunder
D0425,Partly Cloudy
D0426,Moderate to Heavy Rain
D0427,Partly Cloudy
D0428,Mist or Fog
D0429,Mist or Fog
D0430,Mist or Fog
D0431,Mist or Fog
D0432,Mist or Fog
D0433,Mist or Fog
D0434,Light Rain with Thunder
D0435,Light Rain with Thunder
D0436,Mist or Fog
D0437,Light Rain with Thunder
D0438,Light Rain with Thunder
D0439,Light Rain with Thunder
D0440,Mist or Fog
D0441,Mist or Fog
D0442,Mist or Fog
D0443,Light Rain with Thunder
D0444,Light Rain with Thunder
D0445,Mist or Fog
D0446,Mist or Fog
D0447,Light Rain with Thunder
D0448,Mist or Fog
D0449,Light Rain with Thunder
D0450,Light Rain with Thunder
D0451,Light Rain with Thunder
D0452,Mist or Fog
D0453,Mist or Fog
D0454,Mist or Fog
D0455,Light Rain with Thunder
D0456,Light Rain with Thunder
D0457,Mist or Fog
D0458,Mist or Fog
D0459,Mist or Fog
D0460,Mist or Fog
D0461,Mist or Fog
D0462,Mist or Fog
D0463,Light Rain with Thunder
D0464,Light Rain with Thunder
D0465,Mist or Fog
D0466,Mist or Fog
D0467,Partly Cloudy
D0468,Mist or Fog
D0469,Light Precipitation
D0470,Light Rain with Thunder
D0471,Light Rain with Thunder
D0472,Light Precipitation
D0473,Light Precipitation
D0474,Partly Cloudy
D0475,Light Rain with Thunder
D0476,Light Rain with Thunder
D0477,Light Rain with Thunder
D0478,Light Rain with Thunder
D0479,Light Rain with Thunder
D0480,Light Rain with Thunder
D0481,Light Precipitation
D0482,Light Rain with Thunder
D0483,Light Rain with Thunder
D0484,Light Precipitation
D0485,Light Precipitation
D0486,Light Precipitation
D0487,Cloudy and Overcast
D0488,Cloudy and Overcast
D0489,Light Precipitation
D0490,Light Precipitation
D0491,Light Precipitation
D0492,Cloudy and Overcast
D0493,Cloudy and Overcast
D0494,Light Precipitation
D0495,Mist or Fog
D0496,Mist or Fog
D0497,Light Rain with Thunder
D0498,Moderate to Heavy Rain
D0499,Mist or Fog
D0500,Thunderstorms
D0501,Light Rain with Thunder
D0502,Mist or Fog
D0503,Light Rain with Thunder
D0504,Mist or Fog
D0505,Light Precipitation
D0506,Mist or Fog
D0507,Mist or Fog
D0508,Light Rain with Thunder
D0509,Partly Cloudy
D0510,Mist or Fog
D0511,Mist or Fog
D0512,Light Rain with Thunder
D0513,Mist or Fog
D0514,Light Rain with Thunder
D0515,Mist or Fog
D0516,Partly Cloudy
D0517,Mist or Fog
D0518,Light Rain with Thunder
D0519,Light Rain with Thunder
D0520,Moderate to Heavy Rain
D0521,Cloudy and Overcast
D0522,Cloudy and Overcast
D0523,Cloudy and Overcast
D0524,Light Precipitation
D0525,Cloudy and Overcast
D0526,Light Rain with Thunder
D0527,Partly Cloudy
D0528,Light Rain with Thunder
D0529,Mist or Fog
D0530,Moderate to Heavy Rain
D0531,Light Rain with Thunder
D0532,Light Rain with Thunder
D0533,Light Rain with Thunder
D0534,Cloudy and Overcast
D0535,Light Precipitation
D0536,Light Precipitation
D0537,Light Rain with Thunder
D0538,Light Precipitation
D0539,Light Precipitation
D0540,Light Rain with Thunder
D0541,Light Rain with Thunder
D0542,Mist or Fog
D0543,Cloudy and Overcast
D0544,Light Rain with Thunder
D0545,Light Precipitation
D0546,Mist or Fog
D0547,Cloudy and Overcast
D0548,Light Precipitation
D0549,Clear and Sunny
D0550,Light Rain with Thunder
D0551,Light Rain with Thunder
D0552,Light Rain with Thunder
D0553,Light Rain with Thunder
D0554,Mist or Fog
D0555,Mist or Fog
D0556,Mist or Fog
D0557,Mist or Fog
D0558,Moderate to Heavy Rain
D0559,Mist or Fog
D0560,Mist or Fog
D0561,Light Precipitation
D0562,Light Precipitation
D0563,Light Precipitation
D0564,Light Precipitation
D0565,Light Precipitation
D0566,Light Precipitation
D0567,Light Precipitation
D0568,Light Precipitation
D0569,Light Precipitation
D0570,Light Precipitation
D0571,Cloudy and Overcast
D0572,Clear and Sunny
D0573,Mist or Fog
D0574,Light Precipitation
D0575,Cloudy and Overcast
D0576,Light Rain with Thunder
D0577,Light Precipitation
D0578,Light Precipitation
D0579,Light Precipitation
D0580,Light Precipitation
D0581,Partly Cloudy
D0582,Light Precipitation
D0583,Light Rain with Thunder
D0584,Light Precipitation
D0585,Light Precipitation
D0586,Light Precipitation
D0587,Light Precipitation
D0588,Light Precipitation
D0589,Light Rain with Thunder
D0590,Light Precipitation
D0591,Light Precipitation
D0592,Light Precipitation
D0593,Light Precipitation
D0594,Clear and Sunny
D0595,Light Precipitation
D0596,Clear and Sunny
D0597,Light Precipitation
D0598,Clear and Sunny
D0599,Light Precipitation
D0600,Light Rain with Thunder
D0601,Light Rain with Thunder
D0602,Light Rain with Thunder
D0603,Light Precipitation
D0604,Light Rain with Thunder
D0605,Light Precipitation
D0606,Light Precipitation
D0607,Light Precipitation
D0608,Light Precipitation
D0609,Light Precipitation
D0610,Light Precipitation
D0611,Light Precipitation
D0612,Light Precipitation
D0613,Mist or Fog
D0614,Light Precipitation
D0615,Light Rain with Thunder
D0616,Light Precipitation
D0617,Light Precipitation
D0618,Light Precipitation
D0619,Light Rain with Thunder
D0620,Cloudy and Overcast
D0621,Light Precipitation
D0622,Light Precipitation
D0623,Light Precipitation
D0624,Light Rain with Thunder
D0625,Cloudy and Overcast
D0626,Cloudy and Overcast
D0627,Light Precipitation
D0628,Cloudy and Overcast
D0629,Light Rain with Thunder
D0630,Mist or Fog
D0631,Light Rain with Thunder
D0632,Light Precipitation
D0633,Light Precipitation
D0634,Light Precipitation
D0635,Light Precipitation
D0636,Light Precipitation
D0637,Light Precipitation
D0638,Clear and Sunny
D0639,Clear and Sunny
D0640,Light Precipitation
D0641,Light Rain with Thunder
D0642,Light Precipitation
D0643,Light Precipitation
D0644,Light Precipitation
D0645,Cloudy and Overcast
D0646,Light Precipitation
D0647,Clear and Sunny
D0648,Clear and Sunny
D0649,Clear and Sunny
D0650,Light Rain with Thunder
D0651,Light Rain with Thunder
D0652,Light Rain with Thunder
D0653,Light Precipitation
D0654,Light Rain with Thunder
D0655,Clear and Sunny
D0656,Light Precipitation
D0657,Light Rain with Thunder
D0658,Light Precipitation
D0659,Light Precipitation
D0660,Light Rain with Thunder
D0661,Light Precipitation
D0662,Light Precipitation
D0663,Clear and Sunny
D0664,Light Rain with Thunder
D0665,Light Precipitation
D0666,Light Rain with Thunder
D0667,Mist or Fog
D0668,Light Rain with Thunder
D0669,Light Rain with Thunder
D0670,Light Precipitation
D0671,Mist or Fog
D0672,Light Rain with Thunder
D0673,Mist or Fog
D0674,Light Precipitation
D0675,Light Precipitation
D0676,Light Rain with Thunder
D0677,Rain Showers
D0678,Rain Showers
D0679,Mist or Fog
D0680,Mist or Fog
D0681,Partly Cloudy
D0682,Light Rain with Thunder
D0683,Mist or Fog
D0684,Mist or Fog
D0685,Mist or Fog
D0686,Mist or Fog
D0687,Mist or Fog
D0688,Mist or Fog
D0689,Light Rain with Thunder
D0690,Mist or Fog
D0691,Mist or Fog
D0692,Light Rain with Thunder
D0693,Mist or Fog
D0694,Partly Cloudy
D0695,Mist or Fog
D0696,Light Rain with Thunder
D0697,Light Rain with Thunder
D0698,Light Rain with Thunder
D0699,Light Rain with Thunder
D0700,Mist or Fog
D0701,Light Rain with Thunder
D0702,Light Rain with Thunder
D0703,Mist or Fog
D0704,Moderate to Heavy Rain
D0705,Moderate to Heavy Rain
D0706,Moderate to Heavy Rain
D0707,Mist or Fog
D0708,Moderate to Heavy Rain
D0709,Moderate to Heavy Rain
D0710,Moderate to Heavy Rain
D0711,Mist or Fog
D0712,Mist or Fog
D0713,Moderate to Heavy Rain
D0714,Mist or Fog
D0715,Moderate to Heavy Rain
D0716,Moderate to Heavy Rain
D0717,Moderate to Heavy Rain
D0718,Mist or Fog
D0719,Moderate to Heavy Rain
D0720,Moderate to Heavy Rain
D0721,Moderate to Heavy Rain
D0722,Mist or Fog
D0723,Mist or Fog
D0724,Mist or Fog
D0725,Mist or Fog
D0726,Cloudy and Overcast
D0727,Mist or Fog
D0728,Mist or Fog
D0729,Mist or Fog
D0730,Mist or Fog
D0731,Mist or Fog
D0732,Mist or Fog
D0733,Mist or Fog
D0734,Light Rain with Thunder
D0735,Thunderstorms
D0736,Partly Cloudy
D0737,Light Rain with Thunder
D0738,Light Rain with Thunder
D0739,Light Rain with Thunder
D0740,Light Rain with Thunder
D0741,Mist or Fog
D0742,Light Rain with Thunder
D0743,Light Rain with Thunder
D0744,Light Rain with Thunder
D0745,Mist or Fog
D0746,Light Rain with Thunder
D0747,Partly Cloudy
D0748,Partly Cloudy
D0749,Mist or Fog
D0750,Partly Cloudy
D0751,Mist or Fog
D0752,Mist or Fog
D0753,Mist or Fog
D0754,Mist or Fog
D0755,Moderate to Heavy Rain
D0756,Mist or Fog
D0757,Mist or Fog
D0758,Moderate to Heavy Rain
D0759,Moderate to Heavy Rain
D0760,Mist or Fog
D0761,Rain Showers
D0762,Partly Cloudy
D0763,Mist or Fog
D0764,Mist or Fog
D0765,Moderate to Heavy Rain
D0766,Moderate to Heavy Rain
D0767,Mist or Fog
D0768,Light Rain with Thunder
D0769,Mist or Fog
D0770,Cloudy and Overcast
D0771,Moderate to Heavy Rain
D0772,Light Rain with Thunder
D0773,Mist or Fog
D0774,Mist or Fog
D0775,Moderate to Heavy Rain
D0776,Mist or Fog
D0777,Moderate to Heavy Rain
D0778,Mist or Fog
D0779,Light Rain with Thunder
D0780,Mist or Fog
D0781,Light Rain with Thunder
D0782,Light Precipitation
D0783,Light Rain with Thunder
D0784,Mist or Fog
D0785,Cloudy and Overcast
D0786,Light Precipitation
D0787,Light Precipitation
D0788,Light Rain with Thunder
D0789,Partly Cloudy
D0790,Light Precipitation
D0791,Light Precipitation
D0792,Mist or Fog
D0793,Light Precipitation
D0794,Light Precipitation
D0795,Partly Cloudy
D0796,Light Precipitation
D0797,Light Precipitation
D0798,Light Precipitation
D0799,Light Precipitation
D0800,Cloudy and Overcast
D0801,Light Precipitation
D0802,Cloudy and Overcast
D0803,Cloudy and Overcast
D0804,Light Rain with Thunder
D0805,Cloudy and Overcast
D0806,Clear and Sunny
D0807,Mist or Fog
D0808,Mist or Fog
D0809,Moderate to Heavy Rain
D0810,Light Rain with Thunder
D0811,Light Rain with Thunder
D0812,Cloudy and Overcast
D0813,Light Rain with Thunder
D0814,Partly Cloudy
D0815,Partly Cloudy
D0816,Light Precipitation
D0817,Mist or Fog
D0818,Mist or Fog
D0819,Light Precipitation
D0820,Mist or Fog
D0821,Light Precipitation
D0822,Mist or Fog
D0823,Mist or Fog
D0824,Mist or Fog
D0825,Partly Cloudy
D0826,Light Rain with Thunder
D0827,Light Rain with Thunder
D0828,Thunderstorms
D0829,Mist or Fog
D0830,Light Rain with Thunder
D0831,Light Rain with Thunder
D0832,Light Rain with Thunder
D0833,Light Precipitation
D0834,Light Rain with Thunder
D0835,Mist or Fog
D0836,Light Rain with Thunder
D0837,Light Precipitation
D0838,Cloudy and Overcast
D0839,Light Precipitation
D0840,Light Rain with Thunder
D0841,Cloudy and Overcast
D0842,Light Precipitation
D0843,Light Precipitation
D0844,Mist or Fog
D0845,Light Rain with Thunder
D0846,Mist or Fog
D0847,Mist or Fog
D0848,Rain Showers
D0849,Light Precipitation
D0850,Light Precipitation
D0851,Light Rain with Thunder
D0852,Light Rain with Thunder
D0853,Cloudy and Overcast
D0854,Cloudy and Overcast
D0855,Clear and Sunny
D0856,Partly Cloudy
D0857,Cloudy and Overcast
D0858,Cloudy and Overcast
D0859,Partly Cloudy
D0860,Light Rain with Thunder
D0861,Cloudy and Overcast
D0862,Partly Cloudy
D0863,Light Rain with Thunder
D0864,Light Rain with Thunder
D0865,Light Precipitation
D0866,Clear and Sunny
D0867,Clear and Sunny
D0868,Clear and Sunny
D0869,Light Precipitation
D0870,Clear and Sunny
D0871,Cloudy and Overcast
D0872,Light Precipitation
D0873,Light Rain with Thunder
D0874,Mist or Fog
D0875,Light Rain with Thunder
D0876,Clear and Sunny
D0877,Cloudy and Overcast
D0878,Clear and Sunny
D0879,Light Rain with Thunder
D0880,Light Precipitation
D0881,Partly Cloudy
D0882,Cloudy and Overcast
D0883,Cloudy and Overcast
D0884,Partly Cloudy
D0885,Mist or Fog
D0886,Mist or Fog
D0887,Mist or Fog
D0888,Mist or Fog
D0889,Mist or Fog
D0890,Mist or Fog
D0891,Mist or Fog
D0892,Mist or Fog
D0893,Mist or Fog
D0894,Partly Cloudy
D0895,Mist or Fog
D0896,Moderate to Heavy Rain
D0897,Mist or Fog
D0898,Moderate to Heavy Rain
D0899,Mist or Fog
D0900,Mist or Fog
D0901,Partly Cloudy
D0902,Mist or Fog
D0903,Mist or Fog
D0904,Mist or Fog
D0905,Mist or Fog
D0906,Partly Cloudy
D0907,Mist or Fog
D0908,Partly Cloudy
D0909,Mist or Fog
D0910,Mist or Fog
D0911,Light Precipitation
D0912,Light Precipitation
D0913,Light Precipitation
D0914,Light Rain with Thunder
D0915,Light Rain with Thunder
D0916,Thunderstorms
D0917,Mist or Fog
D0918,Partly Cloudy
D0919,Light Rain with Thunder
D0920,Light Rain with Thunder
D0921,Mist or Fog
D0922,Cloudy and Overcast
D0923,Light Precipitation
D0924,Clear and Sunny
D0925,Mist or Fog
D0926,Light Precipitation
D0927,Cloudy and Overcast
D0928,Light Precipitation
D0929,Light Rain with Thunder
D0930,Light Rain with Thunder
D0931,Light Precipitation
D0932,Light Precipitation
D0933,Partly Cloudy
D0934,Mist or Fog
D0935,Cloudy and Overcast
D0936,Moderate to Heavy Rain
D0937,Light Precipitation
D0938,Cloudy and Overcast
D0939,Cloudy and Overcast
D0940,Light Precipitation
D0941,Light Precipitation
D0942,Clear and Sunny
D0943,Light Rain with Thunder
D0944,Clear and Sunny
D0945,Light Rain with Thunder
D0946,Light Precipitation
D0947,Light Precipitation
D0948,Clear and Sunny
D0949,Light Precipitation
D0950,Light Precipitation
D0951,Light Precipitation
D0952,Cloudy and Overcast
D0953,Light Precipitation
D0954,Cloudy and Overcast
D0955,Clear and Sunny
D0956,Light Precipitation
D0957,Cloudy and Overcast
D0958,Clear and Sunny
D0959,Cloudy and Overcast
D0960,Cloudy and Overcast
D0961,Clear and Sunny
D0962,Clear and Sunny
D0963,Moderate to Heavy Rain
D0964,Mist or Fog
D0965,Moderate to Heavy Rain
D0966,Mist or Fog
D0967,Mist or Fog
D0968,Mist or Fog
D0969,Mist or Fog
D0970,Cloudy and Overcast
D0971,Light Rain with Thunder
D0972,Mist or Fog
D0973,Light Rain with Thunder
D0974,Moderate to Heavy Rain
D0975,Mist or Fog
D0976,Mist or Fog
D0977,Mist or Fog
D0978,Mist or Fog
D0979,Light Rain with Thunder
D0980,Light Rain with Thunder
D0981,Mist or Fog
D0982,Mist or Fog
D0983,Mist or Fog
D0984,Mist or Fog
D0985,Moderate to Heavy Rain
D0986,Mist or Fog
D0987,Mist or Fog
D0988,Light Rain with Thunder
D0989,Cloudy and Overcast
D0990,Light Precipitation
D0991,Light Precipitation
D0992,Light Precipitation
D0993,Light Rain with Thunder
D0994,Light Precipitation
D0995,Cloudy and Overcast
D0996,Partly Cloudy
D0997,Mist or Fog
D0998,Mist or Fog
D0999,Light Rain with Thunder
D1000,Light Rain with Thunder
D1001,Light Rain with Thunder
D1002,Light Precipitation
D1003,Light Precipitation
D1004,Cloudy and Overcast
D1005,Light Precipitation
D1006,Light Precipitation
D1007,Light Precipitation
D1008,Cloudy and Overcast
D1009,Cloudy and Overcast
D1010,Light Rain with Thunder
D1011,Cloudy and Overcast
D1012,Light Precipitation
D1013,Light Precipitation
D1014,Clear and Sunny
D1015,Mist or Fog
D1016,Mist or Fog
D1017,Mist or Fog
D1018,Mist or Fog
D1019,Light Rain with Thunder
D1020,Light Rain with Thunder
D1021,Mist or Fog
D1022,Light Precipitation
D1023,Mist or Fog
D1024,Rain Showers
D1025,Mist or Fog
D1026,Light Rain with Thunder
D1027,Moderate to Heavy Rain
D1028,Partly Cloudy
D1029,Moderate to Heavy Rain
D1030,Moderate to Heavy Rain
D1031,Moderate to Heavy Rain
D1032,Mist or Fog
D1033,Moderate to Heavy Rain
D1034,Moderate to Heavy Rain
D1035,Partly Cloudy
D1036,Mist or Fog
D1037,Mist or Fog
D1038,Moderate to Heavy Rain
D1039,Light Precipitation
D1040,Moderate to Heavy Rain
D1041,Mist or Fog
